"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_153","d__Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","JG30-KF-CM45","metagenome"
"ASV_154","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1",NA
"ASV_155","d__Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tyzzerella","uncultured_Eubacteriaceae"
"ASV_156","d__Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","uncultured","cyanobacterium_enrichment"
"ASV_157","d__Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","uncultured_proteobacterium"
"ASV_158","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pirellula",NA
"ASV_159","d__Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA,NA
"ASV_160","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_161","d__Bacteria","Verrucomicrobiota","Chlamydiae","LD1-PA32","LD1-PA32","LD1-PA32","uncultured_microorganism"
"ASV_162","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_1",NA
"ASV_163","d__Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Saprospiraceae"
"ASV_164","d__Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","metagenome"
"ASV_165","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA,NA
"ASV_166","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","uncultured","uncultured_bacterium"
"ASV_167","d__Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","uncultured","uncultured_organism"
"ASV_168","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_169","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_170","d__Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylovulum","uncultured_bacterium"
"ASV_171","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_172","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured","uncultured_bacterium"
"ASV_173","d__Bacteria","Chloroflexi","Anaerolineae",NA,NA,NA,NA
"ASV_174","d__Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02","metagenome"
"ASV_175","d__Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage","uncultured_bacterium"
"ASV_176","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaeraceae","uncultured_bacterium"
"ASV_177","d__Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","SH3-11",NA
"ASV_178","d__Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonadaceae","Methylomonas",NA
"ASV_179","d__Bacteria","Planctomycetota","Phycisphaerae","mle1-8","mle1-8","mle1-8","uncultured_bacterium"
"ASV_180","d__Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA
"ASV_181","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA
"ASV_182","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA
"ASV_183","d__Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured",NA
"ASV_184","d__Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobiaceae","uncultured_bacterium"
"ASV_185","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_186","d__Bacteria","Firmicutes","Clostridia","Monoglobales","Monoglobaceae","Monoglobus",NA
"ASV_187","d__Bacteria","Planctomycetota","Phycisphaerae","MSBL9","SG8-4","SG8-4","uncultured_planctomycete"
"ASV_188","d__Bacteria",NA,NA,NA,NA,NA,NA
"ASV_189","d__Bacteria",NA,NA,NA,NA,NA,NA
