sample;lake;month;origin;lake_origin;replicate;samples
VER-B-PER-GUT3;VER;B;PER;VER_PER;GUT3;VER-B-PER-GUT3
VER-B-PER-GUT4;VER;B;PER;VER_PER;GUT4;VER-B-PER-GUT4
VER-B-PER-GUT5;VER;B;PER;VER_PER;GUT5;VER-B-PER-GUT5
VER-B-PER-GUT6;VER;B;PER;VER_PER;GUT6;VER-B-PER-GUT6
VER-B-PER-GUT7;VER;B;PER;VER_PER;GUT7;VER-B-PER-GUT7
VER-B-PER-GUT8;VER;B;PER;VER_PER;GUT8;VER-B-PER-GUT8
VER-B-PER-GUT9;VER;B;PER;VER_PER;GUT9;VER-B-PER-GUT9
VER-B-W1-ADN1;VER;B;WATER;VER_WATER;W1;VER-B-W1-ADN1
VER-B-W2-ADN1;VER;B;WATER;VER_WATER;W2;VER-B-W2-ADN1
VER-B-W2-SED1;VER;B;SED;VER_SED;SED1;VER-B-W2-SED1
VER-B-W3-ADN1;VER;B;WATER;VER_WATER;W3;VER-B-W3-ADN1
